date,location,latitude,longitude,zone,kota_adm,population_density,day_of_week,day_of_month,month,year,day_of_year,is_weekend,season,weather,temperature_c,humidity_pct,rainfall_mm,event_name,event_visitors,has_event,volume_kg,organic_kg,anorganic_kg,recyclable_kg
########,Jakarta Pusat - Menteng,-61.944,1.068.367,urban,Jakarta Pusat,12500,2,15,5,2024,136,0,Kemarau,Cerah,31.4,70.9,0,Tidak Ada,0,0,181014,102538.2,78475.8,31389.45
########,Jakarta Pusat - Tanah Abang,-61.857,106.811,komersial,Jakarta Pusat,22000,2,15,5,2024,136,0,Kemarau,Cerah,32,64.3,0,Tidak Ada,0,0,388890,220434.2,168455.8,55174.32
########,Jakarta Pusat - Kemayoran,-61.567,1.068.557,urban,Jakarta Pusat,26500,2,15,5,2024,136,0,Kemarau,Cerah,33.4,58.4,2.9,Tidak Ada,0,0,442923.1,254542.4,188380.7,83991.7
########,Jakarta Pusat - Gambir,-61.754,1.068.272,pemerintahan,Jakarta Pusat,9800,2,15,5,2024,136,0,Kemarau,Cerah,32.7,70.7,4.7,Tidak Ada,0,0,147222.1,81458.72,65763.35,22746.86
########,Jakarta Utara - Tanjung Priok,-61.247,106.877,industri,Jakarta Utara,13500,2,15,5,2024,136,0,Kemarau,Cerah,27.7,63.5,10.4,Tidak Ada,0,0,142178.5,86059.14,56119.38,25488.3
########,Jakarta Utara - Penjaringan,-61.171,106.796,urban,Jakarta Utara,19200,2,15,5,2024,136,0,Kemarau,Cerah,30.6,73.8,0,Tidak Ada,0,0,344801.1,205856.7,138944.5,75284.68
########,Jakarta Utara - Kelapa Gading,-61.588,1.069.054,komersial,Jakarta Utara,11800,2,15,5,2024,136,0,Kemarau,Cerah,34.7,62.5,4.9,Tidak Ada,0,0,219234.5,131720.4,87514.04,41562.75
########,Jakarta Barat - Cengkareng,-6.144,1.067.284,urban,Jakarta Barat,21500,2,15,5,2024,136,0,Kemarau,Cerah,27.9,76.6,0,Tidak Ada,0,0,385756.2,243392.9,142363.3,59740.74
########,Jakarta Barat - Grogol Petamburan,-61.684,1.067.851,komersial,Jakarta Barat,19800,2,15,5,2024,136,0,Kemarau,Cerah,33.6,59.8,0,Tidak Ada,0,0,401386.7,254387.3,146999.5,75287.71
########,Jakarta Barat - Tambora,-61.503,1.068.043,urban,Jakarta Barat,44400,2,15,5,2024,136,0,Kemarau,Cerah,35.8,66.9,5,Tidak Ada,0,0,882417.2,505497.1,376920.1,121328.4
